;;REGISTRO DE SANCIONES SUPERINTENDENCIA DE CASINOS DE JUEGO;;;;
;;;;;;
;;;;;;
Sociedad Operadora;Nombre de casino;Resolución Exenta;Fecha;Monto sanción (UTM);Descripción de sanción;Estado
Casino de Colchagua S.A.;Casino de Colchagua;29;15-01-2009;70 UTM;Sanciona con 70 UTM a la operadora por el funcionamiento del SPA y de las nuevas habitaciones del Hotel Santa Cruz Plaza sin contar con la certificación de la SCJ.;Pagada
Gran Casino de Copiapó S.A. ;Antay Casino & Hotel;36;20-01-2009;70 UTM;Sanciona con 70 UTM a la operadora por la realización de modificaciones a los estatutos sociales, para efectuar un aumento de capital, sin previa autorización de la SCJ.;Pagada
San Francisco Investment S.A.;Monticello Grand Casino;51;02-02-2009;90 (rebajada a 60 UTM);Sanciona con 90 UTM (rebajada a 60 UTM) por la utilización indebida del nombre de la SCJ para fines particulares de la propia sociedad operadora. Resolución Exenta N° 96 rebaja a 60 UTM el monto de la multa.;Pagada
Casino de Juegos de Valdivia S.A.;Dreams Valdivia;81;19-02-2009;3 UTM;Sanciona con 3 UTM por la transferencia de acciones de la sociedad operadora Casino de Juegos de Valdivia S.A. sin autorización previa de la SCJ.;Pagada
Casino de Juegos de Punta Arenas S.A.;Dreams Punta Arenas;81;19-02-2009;3 UTM;Sanciona con 3 UTM por la transferencia de acciones de la sociedad operadora Casino de Juegos de Valdivia S.A. sin autorización previa de la SCJ.;Pagada
Marina del Sol S.A.;Marina del Sol;149;27-03-2009;70 UTM (Rebajada a 45 UTM);Sanciona con 70 UTM (rebajada a 45 UTM) por la realización de actividad de marcha blanca con público, en las instalaciones del casino de juego y sus servicios anexos sin haber obtenido previamente la certificación a que se refiere el artículo 28 de la Ley N°19.995. Resolución Exenta N° 211 rebaja a 45 UTM el monto de la multa.;Pagada
Casino Gran Los Ángeles S.A.;Casino Gran Los Ángeles;258;03-06-2009;90 UTM (rebajada a 70 UTM);Sanciona con 90 UTM (rebajada a 70 UTM) por no haber aplicado correctamente los procedimientos del Circuito Cerrado de Televisión y por existir un deficiente control de las actividades de los funcionarios a cargo del sistema de vigilancia. Resolución Exenta N° 315 rebaja a 70 UTM el monto de la multa. Recurrida judicialmente el 27 de julio de 2009 y notificada a la SCJ el 7 de agosto de 2009.;Pendiente de pago
Casino de Juegos del Pacífico S.A.;Casino de Juegos del Pacífico;546;06-11-2009;200 UTM (Rebajada a 150 UTM);Sanciona con 200 UTM (rebajada a 150 UTM) por desarrollar una modalidad del juego Caribbean Poker no contemplada en el Catálogo de Juegos de la SCJ. Resolución Exenta N° 587 rebaja a 150 UTM el monto de la multa.;Pagada
San Francisco Investment S.A.;Monticello Grand Casino;589;30-11-2009;50 UTM (Rebajada a 35 UTM);Sanciona con 50 UTM (rebajada a 35 UTM) por la utilización de folletos de juego no autorizados por la SCJ, los que además, vulneran normas del Catálogo de Juegos. Resolución Exenta N° 644 rebaja a 35 UTM el monto de la multa.;Pagada
Marina del Sol S.A.;Marina del Sol;609;14-12-2009;100 UTM (Rebajada a 60 UTM);Sanciona con 100 UTM (rebajada a 60 UTM) por la modificación o alteración del desarrollo del juego de dados Craps en perjuicio de los jugadores a través del pago incorrecto de algunas apuestas ganadoras y la aplicación improcedente de la tabla de pagos informada. Resolución Exenta N° 30 rebaja a 60 UTM el monto de la multa. Recurrida judicialmente el 29 de enero de 2010 y notificada a la SCJ el 26 de julio de 2010.;Pendiente de pago
Casino de Juegos Punta Arenas S.A.;Dreams Punta Arenas;643;29-12-2009;10 UTM;Sanciona con 10 UTM por haber disminuido de 200 a 120 las posiciones del bingo, sin haber solicitado la autorización respectiva a la SCJ.;Pagada
Casino de Juegos del Pacífico S.A.;Casino de Juegos del Pacífico;33;18-01-2010;90 UTM y 100 UTM (Rebajada a 70 UTM y 80 UTM);Sanciona con 90 UTM (rebajada a 70 UTM) por implementar modificaciones en máquinas de azar sin informarlo previamente e incumplir instrucciones de almacenamiento y registro de eventos especiales en Sistema de CCTV y con 100 UTM (rebajada a 80 UTM) por modificar el pozo de un premio progresivo en las máquinas de azar al no incorporar el aporte de los jugadores en el componente base.  Resolución Exenta N° 62 rebaja a 70 UTM y a 80 UTM el monto de las multas. ;Pagada
