"fecha","hora","reg_validos","reg_preliminares","fecha_mes","anio","mes_num","dia","mes","estacion"
"220407","0",107,NA,2022-04-07,"2022","04","07","Abr","Otoño"
"220408","0",96,NA,2022-04-08,"2022","04","08","Abr","Otoño"
"220409","0",40,NA,2022-04-09,"2022","04","09","Abr","Otoño"
"220410","0",29,NA,2022-04-10,"2022","04","10","Abr","Otoño"
"220411","0",52,NA,2022-04-11,"2022","04","11","Abr","Otoño"
"220412","0",87,NA,2022-04-12,"2022","04","12","Abr","Otoño"
"220413","0",118,NA,2022-04-13,"2022","04","13","Abr","Otoño"
"220414","0",114,NA,2022-04-14,"2022","04","14","Abr","Otoño"
"220415","0",39,NA,2022-04-15,"2022","04","15","Abr","Otoño"
"220416","0",69,NA,2022-04-16,"2022","04","16","Abr","Otoño"
"220417","0",78,NA,2022-04-17,"2022","04","17","Abr","Otoño"
"220418","0",88,NA,2022-04-18,"2022","04","18","Abr","Otoño"
"220419","0",98,NA,2022-04-19,"2022","04","19","Abr","Otoño"
"220420","0",72,NA,2022-04-20,"2022","04","20","Abr","Otoño"
"220421","0",100,NA,2022-04-21,"2022","04","21","Abr","Otoño"
"220422","0",66,NA,2022-04-22,"2022","04","22","Abr","Otoño"
"220423","0",65,NA,2022-04-23,"2022","04","23","Abr","Otoño"
"220424","0",38,NA,2022-04-24,"2022","04","24","Abr","Otoño"
"220425","0",38,NA,2022-04-25,"2022","04","25","Abr","Otoño"
"220426","0",15,NA,2022-04-26,"2022","04","26","Abr","Otoño"
"220427","0",47,NA,2022-04-27,"2022","04","27","Abr","Otoño"
"220428","0",108,NA,2022-04-28,"2022","04","28","Abr","Otoño"
"220429","0",108,NA,2022-04-29,"2022","04","29","Abr","Otoño"
"220430","0",86,NA,2022-04-30,"2022","04","30","Abr","Otoño"
"220501","0",79,NA,2022-05-01,"2022","05","01","May","Otoño"
"220502","0",72,NA,2022-05-02,"2022","05","02","May","Otoño"
"220503","0",113,NA,2022-05-03,"2022","05","03","May","Otoño"
"220504","0",99,NA,2022-05-04,"2022","05","04","May","Otoño"
"220505","0",58,NA,2022-05-05,"2022","05","05","May","Otoño"
"220506","0",95,NA,2022-05-06,"2022","05","06","May","Otoño"
"220507","0",92,NA,2022-05-07,"2022","05","07","May","Otoño"
"220508","0",35,NA,2022-05-08,"2022","05","08","May","Otoño"
"220509","0",85,NA,2022-05-09,"2022","05","09","May","Otoño"
"220510","0",137,NA,2022-05-10,"2022","05","10","May","Otoño"
"220511","0",130,NA,2022-05-11,"2022","05","11","May","Otoño"
"220512","0",112,NA,2022-05-12,"2022","05","12","May","Otoño"
"220513","0",112,NA,2022-05-13,"2022","05","13","May","Otoño"
"220514","0",130,NA,2022-05-14,"2022","05","14","May","Otoño"
"220515","0",114,NA,2022-05-15,"2022","05","15","May","Otoño"
"220516","0",127,NA,2022-05-16,"2022","05","16","May","Otoño"
"220517","0",149,NA,2022-05-17,"2022","05","17","May","Otoño"
"220518","0",149,NA,2022-05-18,"2022","05","18","May","Otoño"
"220519","0",90,NA,2022-05-19,"2022","05","19","May","Otoño"
"220520","0",90,NA,2022-05-20,"2022","05","20","May","Otoño"
"220521","0",82,NA,2022-05-21,"2022","05","21","May","Otoño"
"220522","0",86,NA,2022-05-22,"2022","05","22","May","Otoño"
"220523","0",84,NA,2022-05-23,"2022","05","23","May","Otoño"
