AÑO;NUI;Región;Trimestre;Mes;Categoría;Función;Género;Ocupados;CLASE_INDUSTRIA_II
2005;21714;1;1;enero;CONTRATO;Directivos;mujeres;1;HUMANO
2005;21714;1;1;enero;CONTRATO;Productivos_directos;mujeres;134;HUMANO
2005;21714;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;1;HUMANO
2005;21714;1;1;enero;CONTRATO;Administrativos;mujeres;1;HUMANO
2005;21714;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;1;HUMANO
2005;90158;1;1;enero;CONTRATO;Productivos_directos;mujeres;3;ANIMAL
2005;90158;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;ANIMAL
2005;90157;1;1;enero;CONTRATO;Directivos;mujeres;0;ANIMAL
2005;90157;1;1;enero;CONTRATO;Productivos_directos;mujeres;4;ANIMAL
2005;90157;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;3;ANIMAL
2005;90157;1;1;enero;CONTRATO;Administrativos;mujeres;5;ANIMAL
2005;90157;1;1;enero;CONTRATO;Flota;mujeres;2;ANIMAL
2005;10028;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;10028;1;1;enero;CONTRATO;Productivos_directos;mujeres;1;HUMANO
2005;10028;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;10028;1;1;enero;CONTRATO;Administrativos;mujeres;2;HUMANO
2005;10028;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;37;HUMANO
2005;10001;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;10001;1;1;enero;CONTRATO;Productivos_directos;mujeres;156;HUMANO
2005;10001;1;1;enero;CONTRATO;Administrativos;mujeres;0;HUMANO
2005;10001;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;241;HUMANO
2005;13923;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;13923;1;1;enero;CONTRATO;Productivos_directos;mujeres;204;HUMANO
2005;13923;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;18478;1;1;enero;CONTRATO;Directivos;mujeres;0;ANIMAL
2005;18478;1;1;enero;CONTRATO;Productivos_directos;mujeres;0;ANIMAL
2005;18478;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;1;ANIMAL
2005;18478;1;1;enero;CONTRATO;Administrativos;mujeres;3;ANIMAL
2005;18478;1;1;enero;CONTRATO;Flota;mujeres;1;ANIMAL
2005;18478;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;0;ANIMAL
2005;18478;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;0;ANIMAL
2005;18478;1;1;enero;SUBCONTRATO;Administrativos;mujeres;0;ANIMAL
2005;18478;1;1;enero;SUBCONTRATO;Flota;mujeres;60;ANIMAL
2005;15231;1;1;enero;CONTRATO;Directivos;mujeres;0;ANIMAL
2005;15231;1;1;enero;CONTRATO;Productivos_directos;mujeres;1;ANIMAL
2005;15231;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;1;ANIMAL
2005;15231;1;1;enero;CONTRATO;Administrativos;mujeres;0;ANIMAL
2005;15231;1;1;enero;CONTRATO;Flota;mujeres;0;ANIMAL
2005;15231;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;20;ANIMAL
2005;90155;1;1;enero;CONTRATO;Directivos;mujeres;0;ANIMAL
2005;90155;1;1;enero;CONTRATO;Productivos_directos;mujeres;1;ANIMAL
2005;90155;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;1;ANIMAL
2005;90155;1;1;enero;CONTRATO;Administrativos;mujeres;0;ANIMAL
2005;90155;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;15;ANIMAL
2005;10014;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;10014;1;1;enero;CONTRATO;Productivos_directos;mujeres;24;HUMANO
2005;10014;1;1;enero;CONTRATO;Administrativos;mujeres;1;HUMANO
2005;90029;1;1;enero;CONTRATO;Directivos;mujeres;4;HUMANO
2005;90029;1;1;enero;CONTRATO;Productivos_directos;mujeres;4;HUMANO
2005;90029;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;90029;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;4;HUMANO
2005;90029;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;90038;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;90038;1;1;enero;CONTRATO;Productivos_directos;mujeres;4;HUMANO
2005;90038;1;1;enero;CONTRATO;Administrativos;mujeres;0;HUMANO
2005;16112;1;1;enero;CONTRATO;Productivos_directos;mujeres;30;HUMANO
2005;16112;1;1;enero;CONTRATO;Administrativos;mujeres;1;HUMANO
2005;90060;1;1;enero;CONTRATO;Directivos;mujeres;2;HUMANO
2005;90060;1;1;enero;CONTRATO;Productivos_directos;mujeres;198;HUMANO
2005;90060;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;1;HUMANO
2005;90060;1;1;enero;CONTRATO;Administrativos;mujeres;3;HUMANO
2005;90060;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;90026;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;2;HUMANO
2005;90026;1;1;enero;SUBCONTRATO;Administrativos;mujeres;0;HUMANO
2005;27933;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;27933;1;1;enero;CONTRATO;Productivos_directos;mujeres;7;HUMANO
2005;27933;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;27933;1;1;enero;CONTRATO;Administrativos;mujeres;1;HUMANO
2005;27933;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;8;HUMANO
2005;90164;1;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;90164;1;1;enero;CONTRATO;Productivos_directos;mujeres;1;HUMANO
2005;90164;1;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;90164;1;1;enero;CONTRATO;Administrativos;mujeres;2;HUMANO
2005;90164;1;1;enero;SUBCONTRATO;Productivos_directos;mujeres;60;HUMANO
2005;90164;1;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;4;HUMANO
2005;90097;2;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;90097;2;1;enero;CONTRATO;Productivos_directos;mujeres;19;HUMANO
2005;90097;2;1;enero;CONTRATO;Productivos_indirectos;mujeres;1;HUMANO
2005;90097;2;1;enero;CONTRATO;Administrativos;mujeres;3;HUMANO
2005;90097;2;1;enero;CONTRATO;Flota;mujeres;0;HUMANO
2005;27935;2;1;enero;CONTRATO;Directivos;mujeres;1;HUMANO
2005;27935;2;1;enero;CONTRATO;Administrativos;mujeres;1;HUMANO
2005;27935;2;1;enero;SUBCONTRATO;Productivos_directos;mujeres;8;HUMANO
2005;15300;2;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;15300;2;1;enero;CONTRATO;Productivos_directos;mujeres;51;HUMANO
2005;15300;2;1;enero;CONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;15300;2;1;enero;CONTRATO;Administrativos;mujeres;2;HUMANO
2005;15300;2;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;0;HUMANO
2005;15300;2;1;enero;SUBCONTRATO;Administrativos;mujeres;0;HUMANO
2005;15300;2;1;enero;SUBCONTRATO;Flota;mujeres;0;HUMANO
2005;90000;2;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
2005;90000;2;1;enero;SUBCONTRATO;Productivos_directos;mujeres;1;HUMANO
2005;15406;2;1;enero;CONTRATO;Productivos_directos;mujeres;6;ANIMAL
2005;15406;2;1;enero;CONTRATO;Productivos_indirectos;mujeres;2;ANIMAL
2005;15406;2;1;enero;CONTRATO;Administrativos;mujeres;1;ANIMAL
2005;15406;2;1;enero;CONTRATO;Flota;mujeres;0;ANIMAL
2005;15406;2;1;enero;SUBCONTRATO;Productivos_indirectos;mujeres;2;ANIMAL
2005;90002;2;1;enero;CONTRATO;Directivos;mujeres;0;HUMANO
