"fecha","anio","mes","latitud","longitud","profundidad","magnitud","categoria_magnitud","categoria_profundidad","sismo_mayor_5","sismo_mayor_6","region_asignada","metodo_asignacion_region","macrozona","region_id"
2024-06-01,2024,6,-21.34,-68.95,117,5.3,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2024-06-08,2024,6,-19.49,-69.44,92,5,"5.0 a 5.9","Profundo",1,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2024-06-26,2024,6,-26.09,-70.97,46,5,"5.0 a 5.9","Intermedio",1,0,"Atacama","Región más cercana","Norte","region_4"
2024-06-29,2024,6,-23.97,-70.25,44,5,"5.0 a 5.9","Intermedio",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2023-08-13,2023,8,-30.18,-71.21,63,4,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2023-10-20,2023,10,-30.27,-71.66,62,4.1,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2023-11-03,2023,11,-30.08,-71.84,58,4.6,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2023-11-21,2023,11,-30.22,-71.22,71,4.4,"4.0 a 4.9","Profundo",0,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2024-03-04,2024,3,-30.03,-71.61,40,4.5,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2024-03-21,2024,3,-30.08,-71.58,42,4.4,"4.0 a 4.9","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2024-03-24,2024,3,-30.05,-71.62,43,3.9,"Menor a 4","Intermedio",0,0,"Coquimbo","Región más cercana","Norte","region_7"
2022-08-11,2022,8,-25.77,-70.64,53,4.6,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2024-01-01,2024,1,-25.3,-70.5,25,4,"4.0 a 4.9","Superficial",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2021-11-07,2021,11,-25.47,-69.72,84,4.2,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2022-04-08,2022,4,-25.5,-70.93,37,4.2,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2022-04-19,2022,4,-24.67,-67.24,189,4.6,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2022-05-15,2022,5,-25.89,-70.34,75,4.1,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2022-09-28,2022,9,-25.72,-70.37,79,4.2,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2023-01-11,2023,1,-25.61,-70.81,54,4,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2023-03-22,2023,3,-23.51,-66.72,228,5.3,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Región más cercana","Norte","region_1"
2023-07-08,2023,7,-25.51,-70.84,31,3.6,"Menor a 4","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2023-08-28,2023,8,-25.92,-70.76,67,4.2,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2023-11-02,2023,11,-24.95,-70.97,48,4,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2023-12-09,2023,12,-25.52,-70.77,36,3.8,"Menor a 4","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2021-12-18,2021,12,-25.59,-70.34,28,3,"Menor a 4","Superficial",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2023-10-13,2023,10,-25.18,-70.82,50,3.4,"Menor a 4","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
